zip,state_name,state_code
8341,New Jersey,NJ
8343,New Jersey,NJ
8344,New Jersey,NJ
8346,New Jersey,NJ
8352,New Jersey,NJ
8360,New Jersey,NJ
8361,New Jersey,NJ
8401,New Jersey,NJ
8402,New Jersey,NJ
8403,New Jersey,NJ
8406,New Jersey,NJ
8501,New Jersey,NJ
8502,New Jersey,NJ
8505,New Jersey,NJ
8510,New Jersey,NJ
8512,New Jersey,NJ
8514,New Jersey,NJ
8515,New Jersey,NJ
8518,New Jersey,NJ
8520,New Jersey,NJ
8525,New Jersey,NJ
8527,New Jersey,NJ
8533,New Jersey,NJ
8534,New Jersey,NJ
8535,New Jersey,NJ
8536,New Jersey,NJ
8540,New Jersey,NJ
8542,New Jersey,NJ
8550,New Jersey,NJ
8553,New Jersey,NJ
8554,New Jersey,NJ
8555,New Jersey,NJ
8558,New Jersey,NJ
8560,New Jersey,NJ
8562,New Jersey,NJ
8609,New Jersey,NJ
8610,New Jersey,NJ
8611,New Jersey,NJ
8618,New Jersey,NJ
8619,New Jersey,NJ
8620,New Jersey,NJ
8628,New Jersey,NJ
8629,New Jersey,NJ
8638,New Jersey,NJ
8648,New Jersey,NJ
8690,New Jersey,NJ
8691,New Jersey,NJ
8701,New Jersey,NJ
8720,New Jersey,NJ
8721,New Jersey,NJ
8722,New Jersey,NJ
8723,New Jersey,NJ
8724,New Jersey,NJ
