zip,state_code,group_id
92395,CA,1
92399,CA,1
92401,CA,1
92404,CA,1
92405,CA,1
92407,CA,1
92408,CA,1
92410,CA,1
92411,CA,1
92501,CA,1
92503,CA,1
92504,CA,1
92505,CA,1
92506,CA,1
92507,CA,1
92508,CA,1
92509,CA,1
92518,CA,1
92530,CA,1
92532,CA,1
92543,CA,1
92544,CA,1
92545,CA,1
92548,CA,1
92551,CA,1
92553,CA,1
92555,CA,1
92557,CA,1
92562,CA,1
92563,CA,1
92567,CA,1
92570,CA,1
92571,CA,1
92582,CA,1
92583,CA,1
92584,CA,1
92585,CA,1
92586,CA,1
92587,CA,1
92590,CA,1
92591,CA,1
92592,CA,1
92595,CA,1
92596,CA,1
92602,CA,1
92603,CA,1
92604,CA,1
92606,CA,1
92610,CA,1
92612,CA,1
92614,CA,1
92617,CA,1
92618,CA,1
92620,CA,1
92624,CA,1
92625,CA,1
92626,CA,1
92627,CA,1
92629,CA,1
92630,CA,1
92637,CA,1
92646,CA,1
92647,CA,1
92648,CA,1
92649,CA,1
92651,CA,1
92653,CA,1
92655,CA,1
92656,CA,1
92657,CA,1
92660,CA,1
92661,CA,1
92662,CA,1
92663,CA,1
92672,CA,1
92673,CA,1
92675,CA,1
92676,CA,1
92677,CA,1
92679,CA,1
92683,CA,1
92688,CA,1
92691,CA,1
92692,CA,1
92694,CA,1
92701,CA,1
92703,CA,1
92704,CA,1
92705,CA,1
92706,CA,1
92707,CA,1
92708,CA,1
92780,CA,1
92782,CA,1
92801,CA,1
92802,CA,1
92804,CA,1
92805,CA,1
92806,CA,1
92807,CA,1
92808,CA,1
92821,CA,1
92823,CA,1
92831,CA,1
92832,CA,1
92833,CA,1
92835,CA,1
92840,CA,1
92841,CA,1
92843,CA,1
92844,CA,1
92845,CA,1
92860,CA,1
92861,CA,1
92865,CA,1
92866,CA,1
92867,CA,1
92868,CA,1
92869,CA,1
92870,CA,1
92879,CA,1
92880,CA,1
92881,CA,1
92882,CA,1
92883,CA,1
92886,CA,1
92887,CA,1
93001,CA,1
93003,CA,1
93004,CA,1
93010,CA,1
93012,CA,1
93013,CA,1
93021,CA,1
93022,CA,1
93023,CA,1
93030,CA,1
93033,CA,1
93035,CA,1
93036,CA,1
93041,CA,1
93060,CA,1
93063,CA,1
93065,CA,1
93066,CA,1
93101,CA,1
93103,CA,1
