zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_-5500_incentive,prop_adopt_2_years_-5500_incentive,prop_adopt_3_years_-5500_incentive,prop_adopt_4_years_-5500_incentive,prop_adopt_5_years_-5500_incentive
35976,15.007179018403972,10863.25684345041,0.0,0.0,0.0,0.0,0.0
35980,15.000591645275833,10852.522541190894,0.0,0.0,0.0,0.0,0.0
36020,14.55482183171234,10551.32744093456,0.0,0.0,0.0,0.0,0.0
36022,14.687628125371825,10836.163314726999,0.0,0.0,0.0,0.0,0.0
36025,14.711862157827499,10869.932772859174,0.0,0.0,0.0,0.0,0.0
36043,14.53589139745874,10537.812084687504,0.0,0.0,0.0,0.0,0.0
36054,14.653770857012567,10779.614955361767,0.0,0.0,0.0,0.0,0.0
36064,14.621126280308482,10631.674666397355,0.0,0.0,0.0,0.0,0.0
36066,14.697303051800857,10803.760506376657,0.0,0.0,0.0,0.0,0.0
36067,14.641292137254634,10678.297856701782,0.0,0.0,0.0,0.0,0.0
36079,14.607955199880331,10773.386365393028,0.0,0.0,0.0,0.0,0.0
36081,15.887656705015411,11162.785425828059,0.0,0.0,0.0,0.0,0.0
36092,14.632270783104376,10757.740790584154,0.0,0.0,0.0,0.0,0.0
36093,14.70853362723217,10769.709931114632,0.0,0.0,0.0,0.0,0.0
36104,14.539461080734164,10523.279167512486,0.0,0.0,0.0,0.0,0.0
36105,14.52057197282047,10577.692553534574,0.0,0.0,0.0,0.0,0.0
36106,14.58025348375977,10668.101447027271,0.0,0.0,0.0,0.0,0.0
36107,14.532093553917985,10574.470292549875,0.0,0.0,0.0,0.0,0.0
36108,14.468238010435485,10375.740673556476,0.0,0.0,0.0,0.0,0.0
36109,14.605928862138153,10700.219073089052,0.0,0.0,0.0,0.0,0.0
36110,14.568806255269712,10637.115944110528,0.0,0.0,0.0,0.0,0.0
36111,14.599844779857543,10670.43337380312,0.0,0.0,0.0,0.0,0.0
36112,14.653174938531768,10959.619705830657,0.0,0.0,0.0,0.0,0.0
36113,14.65431227339305,10877.265427742623,0.0,0.0,0.0,0.0,0.0
36115,14.652709237951251,10924.65691191611,0.0,0.0,0.0,0.0,0.0
36116,14.620206341741289,10718.626842193991,0.0,0.0,0.0,0.0,0.0
36117,14.635793076492071,10757.299766636508,0.0,0.0,0.0,0.0,0.0
36201,14.87913023341629,10640.156565187179,0.0,0.0,0.0,0.0,0.0
36203,14.902387107838685,10762.818290167315,0.0,0.0,0.0,0.0,0.0
36205,14.852608594850535,10478.111890977967,0.0,0.0,0.0,0.0,0.0
36206,14.926513889463768,10785.981254691455,0.0,0.0,0.0,0.0,0.0
36207,14.985657759657295,10881.395931039102,0.0,0.0,0.0,0.0,0.0
36250,15.046419756332952,11112.015607083891,0.0,0.0,0.0,0.0,0.0
