panels_1_years_-2000_incentive,panels_2_years_-2000_incentive,panels_3_years_-2000_incentive,panels_4_years_-2000_incentive,panels_5_years_-2000_incentive,zip
0,0,0,0,0,12903
0,0,0,0,0,12918
0,0,0,0,0,12962
0,0,0,0,0,13021
0,0,0,0,0,13027
0,0,0,0,0,13029
0,0,0,0,0,13030
0,0,0,0,0,13031
0,0,0,0,0,13039
0,0,0,0,0,13041
0,0,0,0,0,13057
0,0,0,0,0,13060
0,0,0,0,0,13066
0,0,0,0,0,13068
0,0,0,0,0,13073
0,0,0,0,0,13078
0,0,0,0,0,13082
0,0,0,0,0,13084
0,0,0,0,0,13088
0,0,0,0,0,13090
0,0,0,0,0,13104
0,0,0,0,0,13108
0,0,0,0,0,13112
0,0,0,0,0,13116
0,0,0,0,0,13120
0,0,0,0,0,13132
0,0,0,0,0,13135
0,0,0,0,0,13152
0,0,0,0,0,13164
0,0,0,0,0,13202
0,0,0,0,0,13203
0,0,0,0,0,13204
0,0,0,0,0,13205
0,0,0,0,0,13206
0,0,0,0,0,13207
0,0,0,0,0,13208
0,0,0,0,0,13209
0,0,0,0,0,13210
0,0,0,0,0,13211
0,0,0,0,0,13212
0,0,0,0,0,13214
0,0,0,0,0,13215
0,0,0,0,0,13219
0,0,0,0,0,13224
0,0,0,0,0,13319
0,0,0,0,0,13323
0,0,0,0,0,13340
0,0,0,0,0,13354
0,0,0,0,0,13403
0,0,0,0,0,13413
0,0,0,0,0,13417
0,0,0,0,0,13424
0,0,0,0,0,13456
0,0,0,0,0,13492
0,0,0,0,0,13495
0,0,0,0,0,13501
0,0,0,0,0,13502
0,0,0,0,0,13601
0,0,0,0,0,13603
0,0,0,0,0,13612
0,0,0,0,0,13616
0,0,0,0,0,13634
0,0,0,0,0,13637
0,0,0,0,0,13748
0,0,0,0,0,13760
0,0,0,0,0,13790
0,0,0,0,0,13795
0,0,0,0,0,13827
0,0,0,0,0,13850
0,0,0,0,0,13901
0,0,0,0,0,13903
0,0,0,0,0,13904
0,0,0,0,0,13905
0,0,0,0,0,14004
0,0,0,0,0,14026
0,0,0,0,0,14031
0,0,0,0,0,14032
0,0,0,0,0,14043
0,0,0,0,0,14051
0,0,0,0,0,14052
0,0,0,0,0,14059
0,0,0,0,0,14068
0,0,0,0,0,14072
0,0,0,0,0,14075
0,0,0,0,0,14086
0,0,0,0,0,14092
0,0,0,0,0,14094
0,0,0,0,0,14120
0,0,0,0,0,14127
0,0,0,0,0,14131
0,0,0,0,0,14132
0,0,0,0,0,14150
0,0,0,0,0,14174
