zip,year,incentive,panels
12831,1,-2000,0
12839,1,-2000,0
12845,1,-2000,0
12901,1,-2000,0
12903,1,-2000,0
12918,1,-2000,0
12962,1,-2000,0
13021,1,-2000,0
13027,1,-2000,0
13029,1,-2000,0
13030,1,-2000,0
13031,1,-2000,0
13039,1,-2000,0
13041,1,-2000,0
13057,1,-2000,0
13060,1,-2000,0
13066,1,-2000,0
13068,1,-2000,0
13073,1,-2000,0
13078,1,-2000,0
13082,1,-2000,0
13084,1,-2000,0
13088,1,-2000,0
13090,1,-2000,0
13104,1,-2000,0
13108,1,-2000,0
13112,1,-2000,0
13116,1,-2000,0
13120,1,-2000,0
13132,1,-2000,0
13135,1,-2000,0
13152,1,-2000,0
13164,1,-2000,0
13202,1,-2000,0
13203,1,-2000,0
13204,1,-2000,0
13205,1,-2000,0
13206,1,-2000,0
13207,1,-2000,0
13208,1,-2000,0
13209,1,-2000,0
13210,1,-2000,0
13211,1,-2000,0
13212,1,-2000,0
13214,1,-2000,0
13215,1,-2000,0
13219,1,-2000,0
13224,1,-2000,0
13319,1,-2000,0
13323,1,-2000,0
13340,1,-2000,0
13354,1,-2000,0
13403,1,-2000,0
13413,1,-2000,0
13417,1,-2000,0
13424,1,-2000,0
13456,1,-2000,0
13492,1,-2000,0
13495,1,-2000,0
13501,1,-2000,0
13502,1,-2000,0
13601,1,-2000,0
13603,1,-2000,0
13612,1,-2000,0
13616,1,-2000,0
13634,1,-2000,0
13637,1,-2000,0
13748,1,-2000,0
13760,1,-2000,0
13790,1,-2000,0
13795,1,-2000,0
13827,1,-2000,0
13850,1,-2000,0
13901,1,-2000,0
13903,1,-2000,0
13904,1,-2000,0
13905,1,-2000,0
14004,1,-2000,0
14026,1,-2000,0
14031,1,-2000,0
14032,1,-2000,0
14043,1,-2000,0
14051,1,-2000,0
14052,1,-2000,0
14059,1,-2000,0
14068,1,-2000,0
14072,1,-2000,0
14075,1,-2000,0
14086,1,-2000,0
14092,1,-2000,0
14094,1,-2000,0
14120,1,-2000,0
14127,1,-2000,0
14131,1,-2000,0
14132,1,-2000,0
14150,1,-2000,0
14174,1,-2000,0
1420,1,-2000,0
14201,1,-2000,0
14202,1,-2000,0
14203,1,-2000,0
14204,1,-2000,0
14206,1,-2000,0
14207,1,-2000,0
