,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,hispanic_population,zcta
18344,13907,4887,72098,33927,1038,781,12172,148,79,927,53963
18345,3539,1443,65128,33539,395,11,3338,37,16,89,53964
18346,11244,4922,65861,35089,1186,383,9906,137,225,1090,53965
18347,2411,877,67604,29554,243,2,2252,10,10,21,53968
18348,324,108,71389,27680,34,0,317,0,0,0,53969
18349,7839,3144,80556,38232,456,91,7519,31,19,88,54001
18350,6791,2573,81401,37771,480,72,6562,36,1,75,54002
18351,1152,414,104583,48789,7,3,1078,0,2,9,54003
18352,2186,901,63224,31512,175,0,2058,4,7,12,54004
18353,3051,1164,79595,36798,219,0,2813,8,28,145,54005
18354,791,346,71429,43337,53,0,722,43,0,0,54006
18355,1042,408,78750,40030,48,0,998,2,1,21,54007
18356,2677,969,84583,33566,130,11,2553,11,0,102,54009
18357,6925,2759,85679,40531,415,48,6446,14,17,238,54011
18358,3428,1479,86332,41252,235,6,3243,25,10,102,54013
18359,2043,811,95592,43659,90,0,1936,24,7,34,54014
18360,3863,1447,104511,41654,354,9,3510,23,0,258,54015
18361,33465,13003,109871,54906,1701,138,31513,532,1,1027,54016
18362,19652,7350,93829,38542,1329,276,18253,83,37,280,54017
18363,7880,3250,80353,39641,708,41,7522,15,9,145,54020
18364,7209,2945,92708,46401,355,8,6746,26,5,291,54021
18365,23964,8375,83610,38910,2784,195,22291,391,112,569,54022
18366,4715,1717,102072,41836,258,75,4345,101,0,158,54023
18367,4958,2115,75587,39125,333,15,4840,2,8,94,54024
18368,7200,2759,89596,40114,407,6,6714,44,2,162,54025
18369,2130,892,88051,44145,87,13,2060,25,2,12,54026
18370,1107,419,90625,40366,69,3,1078,6,1,12,54027
18371,2675,1008,78828,34141,189,0,2552,23,5,73,54028
18372,1805,747,127422,66646,71,0,1734,0,0,24,54082
18373,3105,1170,89674,40979,139,6,3024,13,7,18,54101
18374,733,406,43295,33936,87,9,701,0,10,10,54102
18375,499,199,52443,30957,36,0,488,0,0,0,54103
18376,1096,555,52243,32621,124,6,1054,31,4,0,54104
18377,5239,2162,85818,36010,344,0,4710,130,22,37,54106
18378,3630,1377,71641,39262,275,0,3496,7,33,38,54107
18379,5699,2161,78482,34422,508,16,5558,19,19,82,54110
18380,2080,981,65563,44470,119,0,1975,17,10,20,54111
18381,2714,1130,67583,32593,130,0,2426,10,1,114,54112
18382,3620,1405,89375,49109,63,114,3252,0,0,190,54113
18383,5843,2660,57867,32316,621,0,5596,3,16,219,54114
18384,48796,19357,88592,43904,2798,606,42219,1817,1326,1859,54115
18385,678,216,61500,24937,24,14,609,24,0,16,54119
18386,182,106,49375,34382,6,0,178,0,0,0,54120
18387,3165,1457,55274,38072,328,20,3060,0,29,20,54121
18388,208,84,59063,25823,11,0,168,0,20,20,54123
18389,3367,1383,62574,30914,248,0,3080,2,191,139,54124
18390,446,216,53448,25465,21,0,425,0,5,2,54125
