zip,state_code,target_prop,group_id,group_incentive,pred_panels
75640,TX,0.0001065,7,8000,17.595
75644,TX,8.7e-05,7,8000,135.432
75645,TX,8.7e-05,7,8000,41.37062937062937
75647,TX,6.3e-05,6,6500,143.64071856287424
75650,TX,0.000112,7,8000,118.96296296296296
75652,TX,2.75e-05,7,8000,5.01503006012024
75662,TX,0.0001005,3,2000,215.536
75684,TX,2.5e-06,7,8000,0.3053053053053053
75693,TX,0.000116,5,5000,247.04399999999998
75701,TX,2.65e-05,0,-2000,121.20941883767536
75702,TX,5.2e-05,1,-1000,83.259
75703,TX,3.35e-05,0,-2000,208.221
75704,TX,4e-05,5,5000,78.54
75705,TX,0.0001045,7,8000,22.781
75706,TX,0.000122,7,8000,94.798
75707,TX,2.65e-05,2,500,69.37062937062937
75708,TX,0.0001555,7,8000,44.219780219780226
75709,TX,3.65e-05,6,6500,53.72500000000001
75751,TX,2.6e-05,0,-2000,56.648648648648646
75752,TX,2.35e-05,6,6500,65.714
75755,TX,5e-07,7,8000,0.04495504495504495
75757,TX,1.6e-05,7,8000,8.518518518518519
75758,TX,1.15e-05,3,2000,24.786
75762,TX,2.95e-05,3,2000,50.73873873873874
75771,TX,0.000124,7,8000,162.89010989010987
75789,TX,3e-06,7,8000,0.24
75791,TX,1.55e-05,0,-2000,71.415
75792,TX,6.65e-05,7,8000,9.566433566433567
75901,TX,4.35e-05,0,-2000,106.5854145854146
75904,TX,2.35e-05,3,2000,19.816816816816818
75941,TX,2.35e-05,4,3500,49.539
75949,TX,2.15e-05,7,8000,38.47704590818363
75961,TX,2.35e-05,0,-2000,53.550000000000004
75964,TX,1.75e-05,1,-1000,43.29900000000001
75965,TX,4.8e-05,4,3500,99.45145145145145
75969,TX,1.45e-05,7,8000,2.5
76001,TX,0.000174,3,2000,369.21843687374746
76002,TX,0.0002975,5,5000,646.2142142142142
76005,TX,8.4e-05,7,8000,81.48502994011976
76006,TX,9.6e-05,6,6500,154.84
76008,TX,4.5e-06,7,8000,4.171828171828172
76010,TX,3.25e-05,0,-2000,80.32064128256513
76011,TX,9.3e-05,6,6500,125.92785571142285
76012,TX,6e-05,1,-1000,95.51603206412825
76013,TX,4.4e-05,1,-1000,63.11
76014,TX,6.55e-05,0,-2000,148.91291291291293
76015,TX,7e-05,4,3500,163.03903903903904
76016,TX,7.6e-05,0,-2000,186.03296703296704
76017,TX,0.000101,2,500,179.90109890109892
76018,TX,0.0001265,5,5000,256.1208791208791
76021,TX,5.15e-05,1,-1000,91.35499999999999
76022,TX,5.3e-05,6,6500,98.43843843843844
76034,TX,0.000546,3,2000,1149.1653306613225
76036,TX,0.000146,7,8000,240.05105105105105
76039,TX,6.7e-05,2,500,158.953
76040,TX,6.95e-05,3,2000,149.57500000000002
76051,TX,9.4e-05,1,-1000,127.35135135135135
76052,TX,0.0002695,3,2000,596.924
76053,TX,3.75e-05,0,-2000,82.48648648648648
76054,TX,6.6e-05,1,-1000,133.12312312312312
76060,TX,0.000145,5,5000,317.72972972972974
76063,TX,0.000204,2,500,448.604
76071,TX,7.5e-05,7,8000,67.45945945945945
76078,TX,6.5e-06,7,8000,5.426426426426426
76092,TX,0.0020715,7,8000,4377.624000000001
76102,TX,9.4e-05,6,6500,166.28228228228227
76103,TX,3.95e-05,1,-1000,71.01201201201202
76104,TX,6.1e-05,0,-2000,127.72200000000001
76105,TX,5.65e-05,0,-2000,112.22999999999999
76106,TX,3.95e-05,0,-2000,191.84
76107,TX,6.2e-05,0,-2000,209.454
76108,TX,4.65e-05,2,500,67.571
76109,TX,6.15e-05,0,-2000,143.54999999999998
76110,TX,3.1e-05,0,-2000,129.688
76111,TX,2.7e-05,0,-2000,75.51951951951952
76112,TX,8.9e-05,0,-2000,192.73326673326673
76114,TX,2.5e-05,0,-2000,55.704
76115,TX,3.4e-05,0,-2000,172.54945054945054
76116,TX,3.75e-05,0,-2000,316.53146853146853
76117,TX,2.7e-05,0,-2000,130.99099099099098
76118,TX,7e-05,3,2000,128.40340340340342
76119,TX,7.85e-05,1,-1000,229.84984984984985
76120,TX,0.000192,6,6500,269.4384384384384
76123,TX,0.0002645,5,5000,607.1784646061815
